0    ,158023,L. Messi                      ,31,Argentina                     ,94,94,FC Barcelona                            ,110.5M  ,565K ,Left ,10,5'7 ,159lbs
1    ,20801 ,Cristiano Ronaldo             ,33,Portugal                      ,94,94,Juventus                                ,77M     ,405K ,Right,7 ,6'2 ,183lbs
2    ,190871,Neymar Jr                     ,26,Brazil                        ,92,93,Paris Saint-Germain                     ,118.5M  ,290K ,Right,10,5'9 ,150lbs
3    ,193080,De Gea                        ,27,Spain                         ,91,93,Manchester United                       ,72M     ,260K ,Right,1 ,6'4 ,168lbs
4    ,192985,K. De Bruyne                  ,27,Belgium                       ,91,92,Manchester City                         ,102M    ,355K ,Right,7 ,5'11,154lbs
5    ,183277,E. Hazard                     ,27,Belgium                       ,91,91,Chelsea                                 ,93M     ,340K ,Right,10,5'8 ,163lbs
6    ,177003,L. Modri                      ,32,Croatia                       ,91,91,Real Madrid                             ,67M     ,420K ,Right,10,5'8 ,146lbs
7    ,176580,L. Surez                      ,31,Uruguay                       ,91,91,FC Barcelona                            ,80M     ,455K ,Right,9 ,6'0 ,190lbs
8    ,155862,Sergio Ramos                  ,32,Spain                         ,91,91,Real Madrid                             ,51M     ,380K ,Right,15,6'0 ,181lbs
9    ,200389,J. Oblak                      ,25,Slovenia                      ,90,93,Atltico Madrid                          ,68M     ,94K  ,Right,1 ,6'2 ,192lbs
10   ,188545,R. Lewandowski                ,29,Poland                        ,90,90,FC Bayern Mnchen                        ,77M     ,205K ,Right,9 ,6'0 ,176lbs
11   ,182521,T. Kroos                      ,28,Germany                       ,90,90,Real Madrid                             ,76.5M   ,355K ,Right,8 ,6'0 ,168lbs
12   ,182493,D. Godn                       ,32,Uruguay                       ,90,90,Atltico Madrid                          ,44M     ,125K ,Right,10,6'2 ,172lbs
13   ,168542,David Silva                   ,32,Spain                         ,90,90,Manchester City                         ,60M     ,285K ,Left ,21,5'8 ,148lbs
14   ,215914,N. Kant                       ,27,France                        ,89,90,Chelsea                                 ,63M     ,225K ,Right,13,5'6 ,159lbs
15   ,211110,P. Dybala                     ,24,Argentina                     ,89,94,Juventus                                ,89M     ,205K ,Left ,21,5'10,165lbs
16   ,202126,H. Kane                       ,24,England                       ,89,91,Tottenham Hotspur                       ,83.5M   ,205K ,Right,9 ,6'2 ,196lbs
17   ,194765,A. Griezmann                  ,27,France                        ,89,90,Atltico Madrid                          ,78M     ,145K ,Left ,7 ,5'9 ,161lbs
18   ,192448,M. ter Stegen                 ,26,Germany                       ,89,92,FC Barcelona                            ,58M     ,240K ,Right,22,6'2 ,187lbs
19   ,192119,T. Courtois                   ,26,Belgium                       ,89,90,Real Madrid                             ,53.5M   ,240K ,Left ,1 ,6'6 ,212lbs
20   ,189511,Sergio Busquets               ,29,Spain                         ,89,89,FC Barcelona                            ,51.5M   ,315K ,Right,5 ,6'2 ,168lbs
21   ,179813,E. Cavani                     ,31,Uruguay                       ,89,89,Paris Saint-Germain                     ,60M     ,200K ,Right,21,6'1 ,170lbs
22   ,167495,M. Neuer                      ,32,Germany                       ,89,89,FC Bayern Mnchen                        ,38M     ,130K ,Right,1 ,6'4 ,203lbs
23   ,153079,S. Agero                      ,30,Argentina                     ,89,89,Manchester City                         ,64.5M   ,300K ,Right,10,5'8 ,154lbs
24   ,138956,G. Chiellini                  ,33,Italy                         ,89,89,Juventus                                ,27M     ,215K ,Left ,3 ,6'2 ,187lbs
25   ,231747,K. Mbapp                      ,19,France                        ,88,95,Paris Saint-Germain                     ,81M     ,100K ,Right,10,5'10,161lbs
26   ,209331,M. Salah                      ,26,Egypt                         ,88,89,Liverpool                               ,69.5M   ,255K ,Left ,10,5'9 ,157lbs
27   ,200145,Casemiro                      ,26,Brazil                        ,88,90,Real Madrid                             ,59.5M   ,285K ,Right,14,6'1 ,185lbs
28   ,198710,J. Rodrguez                   ,26,Colombia                      ,88,89,FC Bayern Mnchen                        ,69.5M   ,315K ,Left ,10,5'11,172lbs
29   ,198219,L. Insigne                    ,27,Italy                         ,88,88,Napoli                                  ,62M     ,165K ,Right,10,5'4 ,130lbs
30   ,197781,Isco                          ,26,Spain                         ,88,91,Real Madrid                             ,73.5M   ,315K ,Right,22,5'9 ,174lbs
31   ,190460,C. Eriksen                    ,26,Denmark                       ,88,91,Tottenham Hotspur                       ,73.5M   ,205K ,Right,10,5'11,168lbs
32   ,189242,Coutinho                      ,26,Brazil                        ,88,89,FC Barcelona                            ,69.5M   ,340K ,Right,7 ,5'8 ,150lbs
33   ,188567,P. Aubameyang                 ,29,Gabon                         ,88,88,Arsenal                                 ,59M     ,265K ,Right,14,6'2 ,176lbs
34   ,178603,M. Hummels                    ,29,Germany                       ,88,88,FC Bayern Mnchen                        ,46M     ,160K ,Right,5 ,6'3 ,203lbs
35   ,176676,Marcelo                       ,30,Brazil                        ,88,88,Real Madrid                             ,43M     ,285K ,Left ,12,5'9 ,176lbs
36   ,173731,G. Bale                       ,28,Wales                         ,88,88,Real Madrid                             ,60M     ,355K ,Left ,11,6'1 ,181lbs
37   ,167948,H. Lloris                     ,31,France                        ,88,88,Tottenham Hotspur                       ,36M     ,150K ,Left ,1 ,6'2 ,181lbs
38   ,167664,G. Higuan                     ,30,Argentina                     ,88,88,Milan                                   ,57M     ,245K ,Right,9 ,6'1 ,196lbs
39   ,164240,Thiago Silva                  ,33,Brazil                        ,88,88,Paris Saint-Germain                     ,24M     ,165K ,Right,2 ,6'0 ,181lbs
40   ,162835,S. Handanovi                  ,33,Slovenia                      ,88,88,Inter                                   ,30M     ,110K ,Right,1 ,6'4 ,203lbs
41   ,1179  ,G. Buffon                     ,40,Italy                         ,88,88,Paris Saint-Germain                     ,4M      ,77K  ,Right,1 ,6'4 ,203lbs
42   ,205600,S. Umtiti                     ,24,France                        ,87,92,FC Barcelona                            ,57M     ,205K ,Left ,23,6'0 ,165lbs
43   ,201399,M. Icardi                     ,25,Argentina                     ,87,90,Inter                                   ,64.5M   ,130K ,Right,9 ,5'11,165lbs
44   ,201024,K. Koulibaly                  ,27,Senegal                       ,87,90,Napoli                                  ,51M     ,115K ,Right,26,6'2 ,196lbs
45   ,195864,P. Pogba                      ,25,France                        ,87,91,Manchester United                       ,64M     ,210K ,Right,6 ,6'4 ,185lbs
46   ,193041,K. Navas                      ,31,Costa Rica                    ,87,87,Real Madrid                             ,30.5M   ,195K ,Right,1 ,6'1 ,176lbs
47   ,192505,R. Lukaku                     ,25,Belgium                       ,87,89,Manchester United                       ,62.5M   ,230K ,Left ,9 ,6'3 ,207lbs
48   ,192387,C. Immobile                   ,28,Italy                         ,87,87,Lazio                                   ,52M     ,115K ,Right,17,6'1 ,187lbs
49   ,189332,Jordi Alba                    ,29,Spain                         ,87,87,FC Barcelona                            ,38M     ,250K ,Left ,18,5'7 ,150lbs
50   ,175943,D. Mertens                    ,31,Belgium                       ,87,87,Napoli                                  ,45M     ,135K ,Right,14,5'7 ,134lbs
51   ,172871,J. Vertonghen                 ,31,Belgium                       ,87,87,Tottenham Hotspur                       ,34M     ,155K ,Left ,5 ,6'2 ,190lbs
52   ,171877,M. Hamk                       ,30,Slovakia                      ,87,87,Napoli                                  ,46.5M   ,125K ,Right,17,6'0 ,174lbs
